,ESP,BRA,LUX,GER,AUS
2020-07-17,29889.96232876711,60788,475.3333333333333,52353.666666666664,6475.416666666667
2020-07-18,27162.240867579905,56389,409.4583333333333,44065.75,5613.708333333333
2020-07-19,25556.223744292238,50933,355.4166666666667,41017.125,5050.083333333333
2020-07-20,30467.426940639267,59333,429.0,51882.708333333336,6424.458333333333
2020-07-21,31126.35159817352,61161,434.875,52290.333333333336,6507.625
2020-07-22,30845.02397260274,61475,451.9166666666667,52643.833333333336,6557.791666666667
2020-07-23,31259.64840182648,61892,455.7916666666667,52317.666666666664,6541.125
2020-07-24,31042.549086757987,62218,463.9166666666667,50809.791666666664,6472.458333333333
2020-07-25,27713.811643835616,58023,402.4166666666667,43462.25,5545.833333333333
2020-07-26,26270.707762557075,52340,326.4583333333333,40914.125,5157.0
2020-07-27,31478.97146118721,61362,415.5416666666667,50528.0,6368.541666666667
2020-07-28,32188.783105022834,63970,438.4583333333333,53752.041666666664,6481.041666666667
2020-07-29,32252.457762557082,64104,451.0416666666667,52440.833333333336,6595.75
2020-07-30,32611.344748858446,63301,459.7916666666667,51095.875,6478.666666666667
2020-07-31,32088.272831050228,62808,450.375,50586.833333333336,6461.333333333333
2020-08-01,28969.745433789958,56321,393.0833333333333,44767.75,5364.916666666667
2020-08-02,26430.2796803653,51019,346.4166666666667,41222.541666666664,4999.75
2020-08-03,29303.455479452055,59287,351.4166666666667,50151.875,6437.458333333333
2020-08-04,29583.32762557078,61079,218.375,51183.708333333336,6563.666666666667
2020-08-05,30332.337899543378,61215,309.75,51706.375,6467.75
2020-08-06,30721.812785388123,61547,312.9583333333333,52331.375,6407.916666666667
2020-08-07,30664.378995433795,61917,343.3333333333333,52103.333333333336,6321.583333333333
2020-08-08,27667.956621004567,57425,300.2916666666667,45697.0,5421.041666666667
2020-08-09,25993.398401826485,51745,277.0,42842.708333333336,5072.416666666667
2020-08-10,29070.125570776254,61310,342.2916666666667,54112.416666666664,6351.708333333333
2020-08-11,28886.27397260274,63545,360.25,56534.416666666664,6456.583333333333
2020-08-12,27966.570776255707,64289,327.9583333333333,56052.75,6610.916666666667
2020-08-13,28208.40296803653,64447,313.25,55888.25,6639.291666666667
2020-08-14,27876.004566210046,64756,392.0,53964.458333333336,6509.833333333333
2020-08-15,24656.496575342466,59564,293.7083333333333,45231.458333333336,5126.166666666667
2020-08-16,23124.128995433788,54091,327.7083333333333,42690.25,5096.0
2020-08-17,26608.618721461185,62922,415.5833333333333,53703.25,6591.666666666667
2020-08-18,27867.804794520544,65258,417.9166666666667,54730.291666666664,6608.375
2020-08-19,28603.175799086755,66250,395.2083333333333,54654.083333333336,6677.5
2020-08-20,28704.66780821918,65755,476.3333333333333,55437.125,6601.5
2020-08-21,29097.65639269407,63611,414.70588235294116,54965.8,6316.758620689655
2020-08-22,26485.970319634704,57532,,,
2020-08-23,24463.614155251144,51152,,,
