,ICMS Nominal milhões de reais,ICMS acumulado no ano nominal,Variação % sobre Acumulado nominal ano anterior,Variação % sobre mesmo mês ano anterior nominal,Índice da Produção Física Industrial com ajuste sazonal (Média 2012 = 100),Taxa de câmbio,Exportações FOB,Importações FOB
2016-10-31,10524.2524508,101736.25356322,-0.003633347178504165,-0.009044951994666817,80.4,3.1852,3557395396,4521797864
2016-11-30,10964.35990555,112700.61346877,0.0021387885624726266,0.05906779047059252,81.8,3.3414,3789786317,4295404928
2016-12-31,11099.99015124,123800.60362000999,-0.0009055338776829958,-0.030799269958129094,80.8,3.3517,4386172083,4288948546
2017-01-31,10846.632161880001,10846.632161880001,0.05093406546826906,0.05093406546826906,83.2,3.196,3408502203,4372723186
2017-02-28,8944.833961759998,19791.46612364,-0.022544573451533823,-0.0989391264657774,82.2,3.1036,3471485083,3793997652
2017-03-31,11040.223434200001,30831.68955784,0.009433844885249787,0.07232453569691999,81.5,3.1273,4261392175,4643549373
2017-04-30,10775.910054980002,41607.599612820006,0.027764764800064956,0.08409165385876571,81.0,3.1356,4276116985,3873909007
2017-05-31,10236.800066369999,51844.399679190006,0.02487345042024991,0.013287208501524539,82.7,3.2087,4514568150,4479796965
2017-06-30,10684.28945025,62528.689129440005,0.025328847277082733,0.027544371873149398,85.1,3.2948,4691746918,4645112378
2017-07-31,10467.99126049,72996.68038993,0.030590161026739393,0.06317780005986995,86.1,3.2055,4355348361,4669323352
2017-08-31,11278.98040635,84275.66079628,0.03966996315232052,0.10253605475095529,85.0,3.1503,4545685465,5167877136
2017-09-30,11048.04860127,95323.70939755,0.04507858872718162,0.08826453986381999,88.0,3.1342,4416014240,5037528770
2017-10-31,11176.162700839997,106499.87209839,0.046823215602389334,0.06194361576630958,86.4,3.1906,4443968258,5176490431
2017-11-30,11400.57836313,117900.45046152,0.046138497677219004,0.039785127571304146,87.7,3.2587,3934888233,4993214607
2017-12-31,11625.65957553,129526.11003705,0.046247806954267556,0.047357647811181014,90.1,3.2913,4326672404,4394890756
2018-01-31,11921.839842,11921.839842,0.09912825143077741,0.09912825143077741,86.9,3.21,3655038745,5162310464
2018-02-28,10714.326112429999,22636.16595443,0.1437336583868405,0.19782280568144084,84.6,3.2409,4004367504,4538973564
2018-03-31,10645.72588281,33281.89183724,0.07947025656195206,-0.03573275067676085,88.8,3.2786,5055430271,4895446524
2018-04-30,11610.56006394,44892.45190118,0.07894837286763057,0.07745517591567785,88.4,3.4069,4403209165,4850900533
2018-05-31,11204.2004607,56096.65236188,0.08201951819295195,0.09450222609193193,77.4,3.6355,4031716548,5029978943
2018-06-30,10872.4522553,66969.10461718,0.07101405050324883,0.017611166931236433,88.9,3.7726,4427622201,5281768483
